"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Colombia","All sexes Adults (15+) lower estimate","1997","UNAIDS_Spectrum Estimates_","Number","68393",""
"Colombia","All sexes Adults (15+) lower estimate","1996","UNAIDS_Spectrum Estimates_","Number","54048",""
"Colombia","All sexes Adults (15+) lower estimate","1995","UNAIDS_Spectrum Estimates_","Number","39992",""
"Colombia","All sexes Adults (15+) lower estimate","1994","UNAIDS_Spectrum Estimates_","Number","29761",""
"Colombia","All sexes Adults (15+) lower estimate","1993","UNAIDS_Spectrum Estimates_","Number","22732",""
"Colombia","All sexes Adults (15+) lower estimate","1992","UNAIDS_Spectrum Estimates_","Number","16676",""
"Colombia","All sexes Adults (15+) lower estimate","1991","UNAIDS_Spectrum Estimates_","Number","11943",""
"Colombia","All sexes Adults (15+) lower estimate","1990","UNAIDS_Spectrum Estimates_","Number","8044",""
"Colombia","All sexes Adults (15+) upper estimate","2014","UNAIDS_Spectrum Estimates_","Number","158632",""
"Colombia","All sexes Adults (15+) upper estimate","2013","UNAIDS_Spectrum Estimates_","Number","155914",""
"Colombia","All sexes Adults (15+) upper estimate","2012","UNAIDS_Spectrum Estimates_","Number","153594",""
"Colombia","All sexes Adults (15+) upper estimate","2011","UNAIDS_Spectrum Estimates_","Number","152948",""
"Colombia","All sexes Adults (15+) upper estimate","2010","UNAIDS_Spectrum Estimates_","Number","151115",""
"Colombia","All sexes Adults (15+) upper estimate","2009","UNAIDS_Spectrum Estimates_","Number","151876",""
"Colombia","All sexes Adults (15+) upper estimate","2008","UNAIDS_Spectrum Estimates_","Number","151995",""
"Colombia","All sexes Adults (15+) upper estimate","2007","UNAIDS_Spectrum Estimates_","Number","151491",""
"Colombia","All sexes Adults (15+) upper estimate","2006","UNAIDS_Spectrum Estimates_","Number","150026",""
"Colombia","All sexes Adults (15+) upper estimate","2005","UNAIDS_Spectrum Estimates_","Number","149118",""
"Colombia","All sexes Adults (15+) upper estimate","2004","UNAIDS_Spectrum Estimates_","Number","148380",""
"Colombia","All sexes Adults (15+) upper estimate","2003","UNAIDS_Spectrum Estimates_","Number","147558",""
"Colombia","All sexes Adults (15+) upper estimate","2002","UNAIDS_Spectrum Estimates_","Number","146331",""
"Colombia","All sexes Adults (15+) upper estimate","2001","UNAIDS_Spectrum Estimates_","Number","144457",""
"Colombia","All sexes Adults (15+) upper estimate","2000","UNAIDS_Spectrum Estimates_","Number","142722",""
"Colombia","All sexes Adults (15+) upper estimate","1999","UNAIDS_Spectrum Estimates_","Number","140132",""
"Colombia","All sexes Adults (15+) upper estimate","1998","UNAIDS_Spectrum Estimates_","Number","132105",""
"Colombia","All sexes Adults (15+) upper estimate","1997","UNAIDS_Spectrum Estimates_","Number","119057",""
"Colombia","All sexes Adults (15+) upper estimate","1996","UNAIDS_Spectrum Estimates_","Number","100010",""
"Colombia","All sexes Adults (15+) upper estimate","1995","UNAIDS_Spectrum Estimates_","Number","79836",""
"Colombia","All sexes Adults (15+) upper estimate","1994","UNAIDS_Spectrum Estimates_","Number","66738",""
"Colombia","All sexes Adults (15+) upper estimate","1993","UNAIDS_Spectrum Estimates_","Number","53622",""
"Colombia","All sexes Adults (15+) upper estimate","1992","UNAIDS_Spectrum Estimates_","Number","45691",""
"Colombia","All sexes Adults (15+) upper estimate","1991","UNAIDS_Spectrum Estimates_","Number","39054",""
"Colombia","All sexes Adults (15+) upper estimate","1990","UNAIDS_Spectrum Estimates_","Number","30400",""
"Colombia","All sexes All ages estimate","2014","UNAIDS_Spectrum Estimates_","Number","124447",""
"Colombia","All sexes All ages estimate","2013","UNAIDS_Spectrum Estimates_","Number","122953",""
"Colombia","All sexes All ages estimate","2012","UNAIDS_Spectrum Estimates_","Number","122325",""
